id target x1 x2
0 -1.00 0.279168 -0.783724
10 +1.00 -0.712969 -0.891009
10 +1.00 0.355306 0.338275
10 -1.00 -0.857748 0.487745
20 -1.00 -0.633868 0.405496
20 +1.00 -0.060238 -0.231842
20 -1.00 0.960972 -0.359948
20 +1.00 0.998420 0.574373
20 -1.00 -0.624827 0.357274
20 -1.00 0.575617 -0.215148
30 +1.00 -0.956367 -0.751887
30 -1.00 0.291981 -0.875156
30 -1.00 -0.609319 0.378682
30 +1.00 0.653302 0.436124
30 +1.00 0.702216 0.827494
30 +1.00 -0.481811 -0.969082
30 +1.00 0.246641 0.211767
30 +1.00 -0.753515 -0.406859
30 -1.00 -0.997765 0.489148
30 -1.00 -0.845871 0.026033
30 +1.00 0.674857 0.244343
30 +1.00 -0.496618 -0.656407
30 +1.00 0.933737 0.314367
30 +1.00 0.326606 0.855073
30 -1.00 -0.825438 0.739464
40 -1.00 -0.658727 0.967657
40 -1.00 -0.297901 0.382184
40 +1.00 -0.955233 -0.200401
40 +1.00 -0.786898 -0.644286
40 -1.00 0.564018 -0.719001
40 -1.00 0.074288 -0.432631
50 +1.00 -0.654115 -0.750623
50 -1.00 0.452298 -0.611989
50 +1.00 0.353819 0.245269
50 +1.00 0.385719 0.299647
60 -1.00 -0.044835 0.222449
60 -1.00 0.440313 -0.174853
60 -1.00 0.488655 -0.298917
60 +1.00 -0.209385 -0.697329
60 -1.00 0.073847 -0.829962
60 +1.00 0.753972 0.941500
70 -1.00 -0.022073 0.084372
70 +1.00 0.269622 0.727119
70 -1.00 0.953145 -0.685113
70 +1.00 -0.772743 -0.405072
70 +1.00 0.805944 0.636489
70 -1.00 0.965047 -0.176951
70 +1.00 -0.094284 -0.966041
70 -1.00 -0.066082 0.147096
70 -1.00 0.614614 -0.040289
70 +1.00 0.191819 0.622364
70 -1.00 -0.245115 0.126165
80 -1.00 -0.326561 0.212729
80 +1.00 0.082591 0.052073
80 -1.00 -0.343406 0.329682
90 -1.00 0.112668 -0.219458
90 -1.00 0.337842 -0.560365
90 -1.00 0.642648 -0.779552
90 -1.00 0.466663 -0.165323
90 +1.00 0.769030 0.432841
90 +1.00 -0.396662 -0.614416
90 -1.00 0.639639 -0.403844
90 +1.00 -0.452272 -0.332619
90 -1.00 -0.698772 0.222097
90 -1.00 0.597208 -0.235796
90 -1.00 -0.340737 0.990875
90 -1.00 -0.260427 0.669443
90 +1.00 -0.305491 -0.418413
90 -1.00 -0.188348 0.315088
90 -1.00 0.202192 -0.403272
100 -1.00 0.084729 -0.178286
100 +1.00 -0.292916 -0.811855
100 -1.00 0.446715 -0.811568
100 +1.00 0.866791 0.826284
100 +1.00 0.609185 0.647099
100 +1.00 -0.119222 -0.170376
100 +1.00 0.484983 0.675620
100 +1.00 0.133251 0.160059
100 -1.00 0.447183 -0.971250
100 +1.00 -0.703084 -0.443926
110 +1.00 -0.957389 -0.577837
110 -1.00 0.973842 -0.657105
110 -1.00 0.496404 -0.650650
110 +1.00 0.492825 0.381996
110 +1.00 0.655509 0.303410
110 +1.00 -0.531755 -0.440776
110 -1.00 -0.376925 0.593918
110 -1.00 -0.882174 0.240709
110 -1.00 0.351870 -0.676161
110 -1.00 0.797392 -0.428971
110 +1.00 0.022633 0.924326
120 -1.00 -0.975248 0.856962
120 +1.00 0.780304 0.226709
120 -1.00 0.582886 -0.167445
120 +1.00 -0.890492 -0.024609
120 -1.00 -0.614144 0.165232
120 -1.00 -0.242404 0.476608
120 -1.00 0.274444 -0.922431
120 -1.00 -0.285940 0.791562
120 -1.00 0.166231 -0.122424
120 +1.00 -0.408644 -0.377494
130 +1.00 -0.199147 -0.920130
130 +1.00 -0.746989 -0.303801
130 -1.00 0.151544 -0.287247
130 -1.00 0.541307 -0.052881
130 -1.00 -0.124004 0.410009
130 +1.00 0.540014 0.160124
130 -1.00 0.199012 -0.348064
130 +1.00 0.411793 0.591190
130 -1.00 -0.177389 0.078647
130 -1.00 0.408559 -0.481309
130 -1.00 0.883913 -0.064685
130 +1.00 -0.808265 -0.355855
130 +1.00 -0.988935 -0.111561
130 -1.00 0.067469 -0.405512
130 +1.00 -0.104053 -0.733506
130 -1.00 0.651600 -0.157911
130 +1.00 0.641340 0.391853
130 +1.00 -0.696240 -0.587903
130 -1.00 0.516417 -0.276976
130 -1.00 -0.778181 0.299309
130 -1.00 0.604397 -0.099036
130 -1.00 0.968274 -0.802440
130 -1.00 0.241158 -0.769206
130 +1.00 0.269476 0.425341
130 +1.00 0.659142 0.183561
130 -1.00 -0.537642 0.774781
130 +1.00 -0.467688 -0.998895
130 -1.00 -0.674881 0.298122
130 +1.00 0.632599 0.079278
130 +1.00 -0.334503 -0.899488
130 +1.00 0.245796 0.028567
130 +1.00 0.217429 0.878034
130 -1.00 -0.256019 0.923638
130 -1.00 0.177495 -0.896044
130 +1.00 0.102192 0.759395
130 -1.00 -0.051865 0.822139
130 -1.00 -0.678957 0.410734
130 -1.00 0.392937 -0.529282
130 -1.00 -0.523489 0.132776
130 +1.00 -0.583675 -0.651364
130 -1.00 0.721332 -0.969877
130 -1.00 0.034551 -0.246294
130 -1.00 0.502722 -0.779571
130 -1.00 0.079358 -0.142039
130 -1.00 0.295690 -0.349976
130 +1.00 -0.408757 -0.845434
130 +1.00 -0.498859 -0.659350
130 +1.00 0.568602 0.769222
130 +1.00 -0.939888 -0.068287
130 +1.00 -0.324430 -0.914974
130 -1.00 0.129671 -0.357510
130 -1.00 0.311420 -0.626622
130 -1.00 -0.944717 0.150342
130 +1.00 0.937228 0.537519
130 +1.00 -0.112062 -0.060738
130 -1.00 -0.219241 0.288280
130 -1.00 -0.835508 0.292829
130 +1.00 0.067925 0.857304
130 +1.00 0.070977 0.581887
130 +1.00 0.886066 0.615174
140 +1.00 0.392347 0.516628
150 +1.00 -0.300113 -0.699647
150 -1.00 0.509531 -0.242952
150 +1.00 -0.139689 -0.752157
150 +1.00 0.471105 0.833075
150 -1.00 -0.824002 0.700907
150 -1.00 -0.531602 0.020402
150 +1.00 -0.894081 -0.404442
150 +1.00 0.222264 0.017353
150 -1.00 0.710749 -0.707114
150 -1.00 -0.073403 0.312977
150 -1.00 0.022170 -0.641799
150 +1.00 -0.288354 -0.109769
150 -1.00 0.430911 -0.619169
150 +1.00 -0.937407 -0.998085
150 -1.00 0.566414 -0.450417
150 -1.00 -0.810814 0.387237
160 +1.00 -0.227584 -0.995717
160 -1.00 -0.005502 0.421124
